id,gclass_id,week,timed,title,classroom,teacher,created_at,updated_at,clock_id,title_id,classroom_id,teacher_id,grate_id
1,12,1,,,,,2020-10-16 04:33:22.408879,2020-10-16 04:33:22.408879,1,8,18,49,3
2,12,2,,,,,2020-10-16 04:34:27.212953,2020-10-16 04:34:27.212953,1,1,18,5,3
3,12,3,,,,,2020-10-16 04:34:50.024792,2020-10-16 04:34:50.024792,1,5,18,11,3
4,12,4,,,,,2020-10-16 04:35:30.313958,2020-10-16 04:35:30.313958,1,15,49,13,3
5,12,5,,,,,2020-10-16 04:35:53.129583,2020-10-16 04:35:53.129583,1,15,49,13,3
6,12,1,,,,,2020-10-16 04:36:38.655920,2020-10-16 04:36:38.655920,2,20,5,46,3
7,12,2,,,,,2020-10-16 04:37:22.164812,2020-10-16 04:37:22.164812,2,3,18,7,3
8,12,3,,,,,2020-10-16 04:37:43.236612,2020-10-16 04:37:43.236612,2,2,18,9,3
9,12,4,,,,,2020-10-16 04:38:02.606007,2020-10-16 04:38:02.606007,2,1,18,5,3
10,12,5,,,,,2020-10-16 04:38:32.386912,2020-10-16 04:38:32.386912,2,5,18,11,3
11,12,1,,,,,2020-10-16 04:39:23.384826,2020-10-16 04:39:23.384826,3,14,49,18,3
12,12,2,,,,,2020-10-16 04:40:12.020673,2020-10-16 04:40:12.020673,3,17,36,41,3
13,12,3,,,,,2020-10-16 04:40:38.124838,2020-10-16 04:40:38.124838,3,10,49,18,3
14,12,4,,,,,2020-10-16 04:41:29.207495,2020-10-16 04:41:29.207495,3,19,18,48,3
15,12,5,,,,,2020-10-16 04:42:30.235674,2020-10-16 04:42:30.235674,3,2,18,9,3
16,12,1,,,,,2020-10-16 04:42:54.813669,2020-10-16 04:42:54.813669,4,10,49,18,3
17,12,2,,,,,2020-10-16 04:43:36.058398,2020-10-16 04:43:36.058398,4,15,49,13,3
18,12,3,,,,,2020-10-16 04:44:06.175589,2020-10-16 04:44:06.175589,4,14,49,18,3
19,12,4,,,,,2020-10-16 04:44:50.546604,2020-10-16 04:44:50.546604,4,17,36,41,3
20,12,5,,,,,2020-10-16 04:45:14.925611,2020-10-16 04:45:14.925611,4,3,18,7,3
21,12,1,,,,,2020-10-16 04:45:41.911723,2020-10-16 04:45:41.911723,5,17,36,41,3
22,12,2,,,,,2020-10-16 04:46:23.756656,2020-10-16 04:46:23.756656,5,8,18,49,3
23,12,3,,,,,2020-10-16 04:46:45.280841,2020-10-16 04:46:45.280841,5,1,18,5,3
24,12,4,,,,,2020-10-16 04:47:12.201441,2020-10-16 04:47:12.201441,5,22,1,1,3
25,12,5,,,,,2020-10-16 04:47:42.069304,2020-10-16 04:47:42.069304,5,14,49,18,3
26,12,1,,,,,2020-10-16 04:48:21.063099,2020-10-16 04:48:21.063099,6,22,1,1,3
27,12,2,,,,,2020-10-16 04:49:26.459344,2020-10-16 04:49:26.459344,6,19,18,48,3
28,12,3,,,,,2020-10-16 04:50:21.104481,2020-10-16 04:50:21.104481,6,20,5,46,3
29,12,4,,,,,2020-10-16 04:50:56.830465,2020-10-16 04:50:56.830465,6,22,1,1,3
30,12,5,,,,,2020-10-16 04:51:30.774410,2020-10-16 04:51:30.774410,6,10,49,18,3
31,12,3,,,,,2020-10-16 04:57:18.280310,2020-10-16 04:57:18.280310,7,16,18,18,3
